TIMESTAMP,ID,ORD_NUM,AWB_BILL_NO,INVOICE_NO,SHIP_DATE
"2024-07-10 12:02:00",1560,ORD18988510,XXXXXXXXXXXXXXXX,IN1381001,2024-03-21
"2024-07-10 12:02:00",1561,ORD15089510,XXXXXXXXXXXXXXXX,IN3381001,2024-03-21
"2024-07-10 12:02:00",1562,ORD13089510,XXXXXXXXXXXXXXXX,IN8381001,2024-03-21
"2024-07-10 12:03:00",1563,ORD14089510,XXXXXXXXXXXXXXXX,IN5381001,2024-03-21
"2024-07-10 12:03:00",1564,ORD19089510,XXXXXXXXXXXXXXXX,IN4381001,2024-03-21
"2024-07-10 12:03:00",1565,ORD14282610,XXXXXXXXXXXXXXXX,IN8980001,2024-03-21
"2024-07-10 12:05:00",1566,ORD10189510,XXXXXXXXXXXXXXXX,IN4481001,2024-03-19
"2024-07-10 12:06:00",1567,ORD11082610,XXXXXXXXXXXXXXXX,IN5481001,2024-03-19
"2024-07-10 12:06:00",1568,ORD13580510,XXXXXXXXXXXXXXXX,IN7481001,2024-03-19
"2024-07-10 12:14:00",1569,ORD10580510,XXXXXXXXXXXXXXXX,IN6481001,2024-03-19
"2024-07-10 12:32:00",1570,ORD18385510,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:32:00",1571,ORD19889410,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:33:00",1572,ORD18089510,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:33:00",1573,ORD11485510,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:33:00",1574,ORD11683510,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:34:00",1575,ORD19685510,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:34:00",1576,ORD15084510,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:35:00",1577,ORD11287510,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:35:00",1578,ORD11780510,XXXXXXXXXXXXXXXX,IN6681001,2024-03-21
"2024-07-10 12:39:00",1579,ORD19186510,XXXXXXXXXXXXXXXX,IN4881001,2024-03-24
"2024-07-10 12:39:00",1580,ORD15880610,XXXXXXXXXXXXXXXX,IN4881001,2024-03-24
"2024-07-10 12:39:00",1581,ORD10589410,XXXXXXXXXXXXXXXX,IN4881001,2024-03-24
"2024-07-10 12:39:00",1582,ORD17187510,XXXXXXXXXXXXXXXX,IN4881001,2024-03-24
"2024-07-10 12:41:00",1583,ORD11487510,XXXXXXXXXXXXXXXX,IN0581001,2024-03-19
"2024-07-10 12:43:00",1584,ORD12286510,XXXXXXXXXXXXXXXX,IN9281001,2024-03-21
"2024-07-12 04:43:00",1585,ORD104826105,XXXXXXXXXXXXXXXX,IN78810010,2024-03-26
"2024-07-12 04:44:00",1586,ORD129836105,XXXXXXXXXXXXXXXX,IN00820010,2024-03-26
"2024-07-12 04:45:00",1587,ORD130875105,XXXXXXXXXXXXXXXX,IN87810010,2024-03-26
"2024-07-12 04:45:00",1588,ORD157866105,XXXXXXXXXXXXXXXX,IN89810010,2024-03-26
"2024-07-12 04:45:00",1589,ORD179836105,XXXXXXXXXXXXXXXX,IN10820010,2024-03-26
"2024-07-12 04:46:00",1590,ORD162846105,XXXXXXXXXXXXXXXX,IN29810010,2024-03-26
"2024-07-12 04:46:00",1591,ORD167866105,XXXXXXXXXXXXXXXX,IN99810010,2024-03-26
"2024-07-12 04:57:00",1592,ORD105826105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-23
"2024-07-12 04:59:00",1593,ORD135826105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-23
"2024-07-12 05:14:00",1594,ORD175826105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-23
"2024-07-12 05:15:00",1595,ORD156826105,XXXXXXXXXXXXXXXX,IN02820010,2024-03-23
"2024-07-12 05:31:00",1596,ORD115826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:31:00",1597,ORD125826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:32:00",1598,ORD145826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:32:00",1599,ORD155826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:34:00",1600,ORD106826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:34:00",1601,ORD116826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:34:00",1602,ORD136826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:35:00",1603,ORD175855105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:35:00",1604,ORD146826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:36:00",1605,ORD133865105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
"2024-07-12 05:36:00",1606,ORD176826105,XXXXXXXXXXXXXXXX,IN32820010,2024-03-31
